#DA_ID	Random_Taxon	Shortest_Taxon	Longest_Taxon
da00032	up_Q1PAE4_Q1PAE4_BACCE	up_Q1PAE4_Q1PAE4_BACCE	up_P19828_ANGR_VIBAN
da00035	up_Q2LXV6_Q2LXV6_SYNAS	up_Q747Z2_Q747Z2_GEOSL	pfam21_Q9YFI0_Q9YFI0_AERPE
da00036	pfam21_Q4H964_Q4H964_9DEIO	up_Q97UN0_Q97UN0_SULSO	pfam21_Q3F8L3_Q3F8L3_9BURK
da00040	up_Q1V6G1_Q1V6G1_VIBAL	up_Q99PX5_Q99PX5_CAMJE	pfam21_Q410L2_Q410L2_KINRA
da00041	up_Q9Z6M4_ARODE_CHLPN	up_Q9Z6M4_ARODE_CHLPN	up_Q5ZCU7_Q5ZCU7_ORYSJ
da00042	pfam21_Q3NZS0_Q3NZS0_9GAMM	up_Q2BRJ5_Q2BRJ5_9GAMM	up_Q3E9P2_Q3E9P2_ARATH
da00044	up_Q67JN9_Q67JN9_SYMTH	up_Q8ZW59_AROD_PYRAE	up_Q7MVY5_Q7MVY5_PORGI
da00046	up_Q4MPF9_Q4MPF9_BACCE	up_Q4XG14_Q4XG14_PLACH	up_Q72WL6_Q72WL6_DESVH
da00052	up_Q9EUC7_Q9EUC7_9PSED	up_Q38PN6_Q38PN6_9SPHN	up_Q9AQM5_Q9AQM5_PSERE
da00054	up_Q45155_Q45155_BACFR	up_Q2BXE7_Q2BXE7_9GAMM	up_O52973_O52973_BACCI
da00055	up_Q9P8F4_Q9P8F4_ASPNG	pfam21_Q3NAF3_Q3NAF3_9PROT	up_Q2S7C6_Q2S7C6_HAHCH
da00059	up_Q3B2B0_Q3B2B0_PELLD	up_Q49VR7_Q49VR7_STAS1	up_Q8NJJ5_Q8NJJ5_BLUGR
da00061	up_Q5G5T8_Q5G5T8_XENLA	up_Q5XP03_Q5XP03_9ACTO	up_Q5EE48_Q5EE48_XENLA
da00068	up_Q2SUV4_Q2SUV4_BURTA	up_Q5W550_Q5W550_9MUSC	up_Q5FU42_Q5FU42_GLUOX
da00070	up_Q3KDT6_Q3KDT6_PSEPF	up_Q8VRK0_Q8VRK0_9BURK	up_Q8FN44_Q8FN44_COREF
da00071	pfam21_Q1TLH7_Q1TLH7_9MYCO	pfam21_Q9U6L8_Q9U6L8_DICDI	pfam21_Q2X4U9_Q2X4U9_9GAMM
da00072	up_Q55ZE8_Q55ZE8_CRYNE	up_Q65D55_Q65D55_BACLD	up_Q2Y8V3_Q2Y8V3_NITMU
da00073	up_Q6XPZ9_Q6XPZ9_FUNHE	up_Q27HX3_Q27HX3_PSEMX	up_Q93VC9_Q93VC9_ARATH
da00075	pfam21_Q4B7E3_Q4B7E3_BURVI	up_Q3Y9J2_Q3Y9J2_9COXI	up_Q8ILZ3_Q8ILZ3_PLAF7
da00076	up_Q3M5I1_Q3M5I1_ANAVT	up_Q5H4T9_Q5H4T9_XANOR	up_Q5EI65_Q5EI65_DANRE
da00081	pfam21_Q6PG86_Q6PG86_MOUSE	up_Q8MJQ3_Q8MJQ3_AOTVO	up_O88488_PTPRQ_RAT
da00082	up_Q45095_Q45095_BACCI	up_P43478_CGKA_ALTCA	up_Q45095_Q45095_BACCI
da00083	pfam21_Q7S9P2_Q7S9P2_NEUCR	pfam21_Q1VM84_Q1VM84_9FLAO	up_Q9VGH7_CLCN2_DROME
da00086	up_Q41461_Q41461_SOLTU	pfam21_Q7PW88_Q7PW88_ANOGA	up_Q24IL3_Q24IL3_TETTH
da00087	up_Q2UQI7_Q2UQI7_ASPOR	pfam21_Q2D4S6_Q2D4S6_9FIRM	up_Q7TVV6_LEU1_MYCBO
da00094	up_Q9FEH8_Q9FEH8_BRANA	up_Q2H8D2_Q2H8D2_CHAGB	up_Q9U755_Q9U755_TOXGO
da00095	up_Q7MXH5_Q7MXH5_PORGI	up_O29534_CBIH_ARCFU	up_Q8KFE0_Q8KFE0_CHLTE
da00096	up_Q20WY3_Q20WY3_RHOPB	up_Q5DFP3_Q5DFP3_SCHJA	up_Q22PA6_Q22PA6_TETTH
da00097	up_Q31QP3_Q31QP3_SYNE7	up_Q71IZ8_Q71IZ8_LACDL	up_Q5CSW2_Q5CSW2_CRYPV
da00098	up_P67637_XERD_MYCBO	up_Q8GGX2_Q8GGX2_KLEPN	pfam21_Q3X5N0_Q3X5N0_9ACTN
da00099	pfam21_Q427H4_Q427H4_DESHA	up_Q82VX6_Q82VX6_NITEU	up_Q484B4_Q484B4_COLP3
da00101	pfam21_Q379A0_Q379A0_RHOPA	pfam21_Q2D5P9_Q2D5P9_9FIRM	pfam21_Q4J5A7_Q4J5A7_AZOVI
da00103	pfam21_Q1T4T9_Q1T4T9_MEDTR	up_Q6WQ22_Q6WQ22_SHEEP	up_Q8I0W8_Q8I0W8_PLAF7
da00109	up_Q73X69_Q73X69_MYCPA	up_Q4BYX5_Q4BYX5_CROWT	up_Q8EXW3_Q8EXW3_LEPIN
da00112	up_Q8YVF7_Q8YVF7_ANASP	up_Q8DRI2_Q8DRI2_STRR6	up_O54354_O54354_ANASP
da00113	pfam21_Q3XPL5_Q3XPL5_9PROT	up_Q2LSB8_Q2LSB8_SYNAS	pfam21_Q3XPL5_Q3XPL5_9PROT
da00115	up_Q2J0U9_Q2J0U9_RHOP2	up_Q2VZT2_Q2VZT2_MAGSA	up_Q21FW1_Q21FW1_SACD2
da00121	up_Q2L9C1_Q2L9C1_HUMAN	up_Q8W4B6_Q8W4B6_ARATH	up_Q4SZ82_Q4SZ82_TETNG
da00122	pfam21_Q2DR05_Q2DR05_9DELT	up_O97222_O97222_PLAFA	up_Q4E5Z1_Q4E5Z1_TRYCR
da00123	pfam21_Q1UW50_Q1UW50_9MYCO	up_Q8KKW0_Q8KKW0_RHIEC	up_Q89T32_Q89T32_BRAJA
da00124	up_Q1V3R2_Q1V3R2_VIBAL	pfam21_Q2CNH7_Q2CNH7_9EURY	pfam21_Q43E28_Q43E28_9CHLB
da00126	up_Q6G7M7_DDL_STAAS	up_P96761_P96761_ENTCA	pfam21_Q3C6F6_Q3C6F6_9CLOT
da00128	up_Q9CLU3_Q9CLU3_PASMU	up_Q5LDP0_Q5LDP0_BACFN	pfam21_Q35B29_Q35B29_9BRAD
da00129	up_Q1LKM7_Q1LKM7_RALME	up_Q8GBY0_Q8GBY0_9BACL	up_Q5B1Z4_Q5B1Z4_EMENI
da00130	up_Q7CP66_TYPH_SALTY	up_P47717_TYPH_MYCPI	pfam21_Q1TCZ1_Q1TCZ1_9MYCO
da00131	pfam21_Q33UM2_Q33UM2_9GAMM	pfam21_Q1VHX3_Q1VHX3_9FLAO	pfam21_Q411F3_Q411F3_KINRA
da00134	up_Q886U6_Q886U6_PSESM	up_Q1YNX3_Q1YNX3_9GAMM	pfam21_Q7CYX5_Q7CYX5_AGRT5
da00135	up_Q7A5T6_Q7A5T6_STAAN	up_Q4HPM1_Q4HPM1_CAMUP	pfam21_Q3X0G5_Q3X0G5_9ACTN
da00137	up_Q3K497_Q3K497_PSEPF	up_Q89VZ7_Q89VZ7_BRAJA	pfam21_Q22FP5_Q22FP5_TETTH
da00139	up_P37383_RAD51_CHICK	up_Q8IYL1_Q8IYL1_HUMAN	up_Q5JET4_RADA_PYRKO
da00140	up_Q1QDW8_DNLJ_PSYCK	up_Q9AKK2_Q9AKK2_RICMO	pfam21_Q5H057_Q5H057_XANOR
da00141	up_Q3IKB8_DNLJ_PSEHT	pfam21_Q3GHU9_Q3GHU9_CHLVI	up_Q8G830_DNLJ_BIFLO
da00142	up_Q1LU20_DNLJ_BAUCH	up_Q6XP54_Q6XP54_9MOLU	up_Q1ZXG5_Q1ZXG5_DICDI
da00143	up_Q8P1Y9_Q8P1Y9_STRP8	up_Q9L881_Q9L881_PSEAE	up_Q7NP07_Q7NP07_GLOVI
da00144	up_O48901_DPOD1_SOYBN	up_Q3CYE5_Q3CYE5_STRAG	pfam21_O60673_DPOLZ_HUMAN
da00145	up_Q6NHJ1_Q6NHJ1_CORDI	pfam21_Q2ACZ4_Q2ACZ4_9FIRM	up_Q72ES3_Q72ES3_DESVH
da00146	up_Q84ND9_Q84ND9_ARATH	pfam21_Q1VJA3_Q1VJA3_9FLAO	up_Q4N8S8_Q4N8S8_THEPA
da00147	up_Q66GG4_Q66GG4_YERPS	pfam21_Q33X19_Q33X19_9GAMM	pfam21_Q8I7W9_Q8I7W9_DICDI
da00152	pfam21_Q26WD7_Q26WD7_XANP2	up_Q93N57_Q93N57_COXBU	pfam21_Q2ZH11_Q2ZH11_CALSA
da00154	up_Q4Z4R4_Q4Z4R4_PLABE	up_Q703W4_Q703W4_THETE	pfam21_Q2APD6_Q2APD6_9BACI
da00155	pfam21_Q33SR1_Q33SR1_9GAMM	up_Q3D230_Q3D230_STRAG	up_Q8T062_Q8T062_DROME
da00156	up_Q21HH3_EFTS_SACD2	pfam21_Q2Z7A0_Q2Z7A0_9GAMM	pfam21_Q22ZZ3_Q22ZZ3_TETTH
da00158	pfam21_Q6A4N1_Q6A4N1_CAEEL	up_Q84XN3_Q84XN3_GOSBA	pfam21_Q246H8_Q246H8_TETTH
da00159	up_Q08277_HSP82_MAIZE	up_Q5T9W8_Q5T9W8_HUMAN	up_Q4N786_Q4N786_THEPA
da00160	up_Q3Z4K7_Q3Z4K7_SHISS	up_Q93IL7_Q93IL7_9CYAN	up_Q3M3K1_Q3M3K1_ANAVT
da00166	up_Q63RD4_Q63RD4_BURPS	up_Q803S0_Q803S0_DANRE	up_Q3JPA4_Q3JPA4_BURP1
da00168	up_Q5KG99_Q5KG99_CRYNE	up_Q5ANF5_Q5ANF5_CANAL	up_Q755G1_Q755G1_ASHGO
da00171	up_Q8PBT2_Q8PBT2_XANCP	up_Q2BG74_Q2BG74_9GAMM	pfam21_Q1XJ09_Q1XJ09_CYTJO
da00173	pfam21_Q2ATP1_Q2ATP1_9BACI	up_Q5C3D4_Q5C3D4_SCHJA	up_Q4RIU6_Q4RIU6_TETNG
da00176	up_Q4EC64_Q4EC64_9RICK	up_Q92JN0_Q92JN0_RICCN	up_O44030_O44030_TOXGO
da00177	up_Q9F1N2_MURD_SHEVI	up_Q8GE13_Q8GE13_HELMO	pfam21_Q1TI39_Q1TI39_9MYCO
da00183	up_Q7CKB5_Q7CKB5_YERPE	pfam21_Q3Q1I1_Q3Q1I1_9GAMM	up_Q8I2N6_Q8I2N6_PLAF7
da00185	pfam21_Q7QLH1_Q7QLH1_ANOGA	up_Q8JFG9_Q8JFG9_CYPCA	up_Q9BHT9_Q9BHT9_PLABE
da00186	up_Q8THK3_GUAAB_METAC	up_Q64E47_Q64E47_9ARCH	pfam21_Q2CPF0_Q2CPF0_9EURY
da00187	up_Q6HP80_GATB_BACHK	pfam21_Q1VHF2_Q1VHF2_9FLAO	up_Q4P525_Q4P525_USTMA
da00191	pfam21_Q41RI4_Q41RI4_FERAC	up_Q5C1L7_Q5C1L7_SCHJA	up_Q7S2V0_Q7S2V0_NEUCR
da00194	up_Q8KC35_Q8KC35_CHLTE	up_Q3ETR6_Q3ETR6_BACTI	up_Q7V7N2_Q7V7N2_PROMM
da00195	up_Q7UIA9_Q7UIA9_RHOBA	up_Q65W64_Q65W64_MANSM	up_Q8IJF3_Q8IJF3_PLAF7
da00197	up_Q3BAB4_Q3BAB4_RHIET	up_Q70TB5_Q70TB5_9ACTO	pfam21_Q3FJU4_Q3FJU4_9BURK
da00198	up_Q1ZMJ0_Q1ZMJ0_PHOAS	pfam21_Q3QAW4_Q3QAW4_9GAMM	up_Q9ZNZ7_GLTB1_ARATH
da00202	up_Q8IJR9_Q8IJR9_PLAF7	up_Q83ID3_GUAA_TROW8	pfam21_Q7Q0V2_Q7Q0V2_ANOGA
da00220	pfam21_Q33PF7_Q33PF7_9GAMM	up_Q6J8G7_Q6J8G7_CAMJE	up_Q8EVB9_Q8EVB9_MYCPE
da00224	up_Q2A5R3_HEM3_FRATH	up_Q56ZT3_Q56ZT3_ARATH	pfam21_Q2CQF9_Q2CQF9_ECTHA
da00226	up_Q7TUB3_Q7TUB3_PROMP	up_Q3J052_Q3J052_RHOS4	up_Q97B15_Q97B15_THEVO
da00228	up_Q47LA8_Q47LA8_THEFY	pfam21_Q4AJ84_Q4AJ84_9CHLB	up_Q8FSE4_Q8FSE4_COREF
da00232	up_O66971_O66971_AQUAE	up_Q3EMY5_Q3EMY5_BACTI	up_Q2W371_Q2W371_MAGSA
da00233	up_Q46C21_Q46C21_METBF	pfam21_Q3CJ85_Q3CJ85_THEET	pfam21_Q41PQ2_Q41PQ2_METBU
da00240	pfam21_Q4BSM5_Q4BSM5_BURVI	pfam21_Q1TPJ2_Q1TPJ2_9MYCO	up_Q2Z1T2_Q2Z1T2_9HYME
da00241	up_Q65WK8_ILVC_MANSM	up_Q1KRF3_Q1KRF3_STRSL	up_Q01292_ILV5_SPIOL
da00242	up_Q8R837_Q8R837_THETN	pfam21_Q2ZFB7_Q2ZFB7_CALSA	up_Q703W1_Q703W1_THETE
da00244	up_Q7T1J1_Q7T1J1_CHAAC	up_Q86CM4_Q86CM4_9HYME	up_Q4RFW9_Q4RFW9_TETNG
da00249	pfam21_Q3QAK9_Q3QAK9_9GAMM	up_Q3R0V5_Q3R0V5_XYLFA	up_Q7XPW1_Q7XPW1_ORYSJ
da00256	pfam21_Q29A22_Q29A22_DROPS	up_Q5T770_Q5T770_HUMAN	pfam21_Q7SER8_Q7SER8_NEUCR
da00257	up_Q64D97_Q64D97_9ARCH	up_Q1NYK9_Q1NYK9_9FLAO	up_Q59YV0_Q59YV0_CANAL
da00258	up_P36776_LONM_HUMAN	pfam21_Q366E9_Q366E9_9GAMM	up_Q6C0B5_Q6C0B5_YARLI
da00260	up_Q8MSX9_Q8MSX9_DROME	pfam21_Q7Q8J7_Q7Q8J7_ANOGA	up_Q7TP34_Q7TP34_RAT
da00261	up_Q5F3F8_Q5F3F8_CHICK	up_Q5BZ38_Q5BZ38_SCHJA	up_Q5F3F8_Q5F3F8_CHICK
da00262	up_Q2K578_Q2K578_RHIEC	pfam21_Q3CMZ7_Q3CMZ7_ALTAT	up_Q4PAC3_Q4PAC3_USTMA
da00263	up_Q62GZ7_Q62GZ7_BURMA	up_Q40JI9_Q40JI9_EHRCH	up_Q1LIV8_Q1LIV8_RALME
da00267	up_Q9C4F5_Q9C4F5_9EURY	up_Q8NKK7_Q8NKK7_9EURY	up_Q6MZD1_Q6MZD1_9ARCH
da00268	pfam21_Q40MJ5_Q40MJ5_DESAC	up_Q54K63_Q54K63_DICDI	pfam21_Q1U1A6_Q1U1A6_9MYCO
da00269	up_Q3SM86_Q3SM86_THIDA	up_Q3SM86_Q3SM86_THIDA	up_Q28M05_Q28M05_JANSC
da00270	up_Q5L229_Q5L229_GEOKA	up_Q9RA53_Q9RA53_THETH	up_Q2IZ88_Q2IZ88_RHOP2
da00271	up_Q8RK20_Q8RK20_PSEPU	up_Q8RK20_Q8RK20_PSEPU	up_O33465_METH_PSEPU
da00274	pfam21_Q2XGW1_Q2XGW1_PSEPU	up_Q2YTJ6_Q2YTJ6_STAAB	up_Q9CAD3_Q9CAD3_ARATH
da00276	up_Q5RDK4_Q5RDK4_PONAB	up_Q9T0N6_Q9T0N6_MAIZE	up_Q1ZXH0_MSH3_DICDI
da00277	up_Q4YGK9_Q4YGK9_PLABE	up_Q9EVZ0_Q9EVZ0_STRPY	up_Q2HEX7_Q2HEX7_CHAGB
da00279	up_Q4SQA0_Q4SQA0_TETNG	pfam21_Q41YB7_Q41YB7_DESHA	up_Q5CH19_Q5CH19_CRYHO
da00282	up_Q6GA70_MUTS2_STAAS	pfam21_Q3CCH8_Q3CCH8_9CLOT	up_Q7XKD3_Q7XKD3_ORYSJ
da00283	up_Q3BQ87_Q3BQ87_XANC5	pfam21_Q35HD0_Q35HD0_9BRAD	pfam21_Q8IH17_Q8IH17_DROME
da00287	up_Q6N0P1_Q6N0P1_RHOPA	pfam21_Q7QZK4_Q7QZK4_GIALA	up_Q6N0P1_Q6N0P1_RHOPA
da00288	up_Q7CIP7_Q7CIP7_YERPE	up_Q1NIT0_Q1NIT0_9DELT	up_Q21TI5_Q21TI5_RHOFD
da00290	pfam21_Q4I306_Q4I306_GIBZE	up_Q3A0J3_Q3A0J3_PELCD	pfam21_P38681_NIR_NEUCR
da00296	up_Q5F326_Q5F326_CHICK	up_Q5BY55_Q5BY55_SCHJA	up_Q7RIU5_Q7RIU5_PLAYO
da00302	up_Q7TPX2_Q7TPX2_MOUSE	up_Q4R401_Q4R401_MACFA	up_Q20500_Q20500_CAEEL
da00303	pfam21_Q1X4C5_Q1X4C5_9FIRM	pfam21_Q4CIR6_Q4CIR6_CLOTM	pfam21_Q4I8D3_Q4I8D3_GIBZE
da00304	up_Q8LPN3_Q8LPN3_ARATH	up_Q8NRQ1_Q8NRQ1_CORGL	up_Q8LPN3_Q8LPN3_ARATH
da00306	pfam21_Q4BNE7_Q4BNE7_BURVI	up_Q3D565_Q3D565_STRAG	up_Q6MEZ0_Q6MEZ0_PARUW
da00307	up_Q5YN32_Q5YN32_NOCFA	pfam21_Q2WWN8_Q2WWN8_9GAMM	up_Q9RUG9_Q9RUG9_DEIRA
da00308	up_Q316S6_Q316S6_DESDG	up_Q2CK53_Q2CK53_9RHOB	up_Q5WGB5_Q5WGB5_BACSK
da00312	up_P15922_PEHX_ERWCH	up_Q97D05_Q97D05_CLOAB	up_Q9KGY5_Q9KGY5_PSEHA
da00315	pfam21_Q33Q29_Q33Q29_9GAMM	up_P37836_PFL_CHLRE	up_Q8G9W1_Q8G9W1_ECOLX
da00318	pfam21_Q35EW8_Q35EW8_9BRAD	up_Q4JJA1_Q4JJA1_9PSED	up_Q3HYA0_Q3HYA0_9PSED
da00319	pfam21_Q2WVX8_Q2WVX8_CLOBE	up_Q5MIB2_Q5MIB2_9CLOT	pfam21_Q2AG82_Q2AG82_9FIRM
da00320	up_Q97E85_Q97E85_CLOAB	up_Q968N2_Q968N2_TRIFO	up_Q869B1_Q869B1_ENTHI
da00321	up_Q7DC81_Q7DC81_PSEAE	up_Q7DC81_Q7DC81_PSEAE	pfam21_Q412D2_Q412D2_KINRA
da00323	up_Q55CT0_TPP1_DICDI	pfam21_Q449U3_Q449U3_SOLUS	up_Q4J9N4_Q4J9N4_SULAC
da00326	pfam21_P91550_P91550_CAEEL	pfam21_Q5TS58_Q5TS58_ANOGA	up_Q4T342_Q4T342_TETNG
da00331	up_Q9WXH8_Q9WXH8_9ACTO	up_Q1NKP6_Q1NKP6_9DELT	up_Q4BYK3_Q4BYK3_CROWT
da00334	up_Q9S384_Q9S384_MYCLE	up_Q53730_Q53730_STRAM	up_Q8RJY4_Q8RJY4_STIAU
da00338	pfam21_Q1TB54_Q1TB54_9MYCO	pfam21_Q2X2L3_Q2X2L3_9GAMM	up_Q55JD6_Q55JD6_CRYNE
da00342	up_Q98G92_Q98G92_RHILO	pfam21_Q2X0L2_Q2X0L2_9GAMM	pfam21_Q3FXU0_Q3FXU0_9DELT
da00343	up_Q5LZ94_Q5LZ94_STRT1	pfam21_Q1U687_Q1U687_LACRE	pfam21_Q3FJG8_Q3FJG8_9BURK
da00355	up_Q4FS76_Q4FS76_PSYA2	up_Q3DPK6_Q3DPK6_STRAG	pfam21_Q3W8D8_Q3W8D8_9ACTO
da00356	up_O49514_O49514_ARATH	up_Q677C0_Q677C0_HYAOR	pfam21_Q4LKS8_Q4LKS8_9BURK
da00357	up_Q4ZZ46_Q4ZZ46_PSEU2	up_Q4EDB8_Q4EDB8_9RICK	up_Q21UN0_Q21UN0_RHOFD
da00358	pfam21_Q3GX31_Q3GX31_9ACTO	up_Q50450_Q50450_MYCTU	pfam21_Q3F814_Q3F814_9BURK
da00366	up_Q5KXK4_Q5KXK4_GEOKA	up_Q7X530_Q7X530_BACCE	pfam21_Q4IWM3_Q4IWM3_AZOVI
da00367	up_Q1Z3X5_Q1Z3X5_PHOPR	pfam21_Q7PCT6_Q7PCT6_ANOGA	up_Q22N20_Q22N20_TETTH
da00369	up_Q3R518_Q3R518_XYLFA	up_Q2PYQ6_Q2PYQ6_9GLOM	up_Q8I410_Q8I410_PLAF7
da00370	up_Q2VMY9_Q2VMY9_9MICO	up_Q4TTN3_Q4TTN3_STRRM	up_Q2EEW9_RPOC1_HELSJ
da00371	up_Q4C3Y2_Q4C3Y2_CROWT	up_Q9TNJ1_Q9TNJ1_9MARC	up_Q3ZJ90_RPOC2_PSEAK
da00372	up_P11705_RPOC1_SPIOL	up_Q4XB12_Q4XB12_PLACH	up_Q3ZJ92_RPOC1_PSEAK
da00378	up_Q4FTY9_Q4FTY9_PSYA2	up_Q7P733_Q7P733_FUSNV	up_Q4RJ90_Q4RJ90_TETNG
da00382	up_Q7U5S8_Q7U5S8_SYNPX	up_Q6E6Q5_Q6E6Q5_MYCAT	up_Q89X41_Q89X41_BRAJA
da00386	up_Q5VDC5_Q5VDC5_ASPFL	pfam21_Q00681_STCJ_EMENI	up_Q2UG03_Q2UG03_ASPOR
da00389	up_Q756Z0_NTE1_ASHGO	up_P0A642_Y2565_MYCTU	pfam21_Q29JA1_Q29JA1_DROPS
da00390	up_Q2L227_Q2L227_BORA1	up_Q9AQJ6_Q9AQJ6_9GAMM	up_Q4PDA4_Q4PDA4_USTMA
da00391	pfam21_Q51C08_Q51C08_ENTHI	up_Q1NYK5_Q1NYK5_9FLAO	pfam21_Q22JZ9_Q22JZ9_TETTH
da00398	pfam21_Q4APA8_Q4APA8_9CHLB	pfam21_Q3N8U8_Q3N8U8_9PROT	up_Q4UHU8_Q4UHU8_THEAN
da00404	up_Q31FB8_Q31FB8_THICR	up_Q7P4U4_Q7P4U4_FUSNV	up_Q4P450_Q4P450_USTMA
da00407	up_Q972B2_Q972B2_SULTO	up_Q3LBL8_Q3LBL8_9MOLU	up_Q24DD8_Q24DD8_TETTH
da00408	up_Q819X3_Q819X3_BACCR	up_Q8F5G0_Q8F5G0_LEPIN	pfam21_Q9NG98_TOP3A_DROME
da00413	up_Q5CV93_Q5CV93_CRYPV	up_Q207W4_Q207W4_PHYPO	up_Q5CV93_Q5CV93_CRYPV
da00415	up_Q5GMK2_Q5GMK2_9BACT	up_P74924_P74924_THEMA	pfam21_Q2CWW1_Q2CWW1_ECTHA
da00419	up_Q6N1B0_Q6N1B0_RHOPA	pfam21_Q4HAW2_Q4HAW2_9DEIO	up_Q2VEA5_Q2VEA5_AZOBR
da00420	up_Q5KNA0_Q5KNA0_CRYNE	up_Q755S2_Q755S2_ASHGO	up_Q4PBY7_Q4PBY7_USTMA
da00422	pfam21_Q6BS14_Q6BS14_DEBHA	up_Q83CG3_Q83CG3_COXBU	up_Q4X0J6_Q4X0J6_ASPFU
da00424	up_P09095_TYCA_BREPA	up_Q71EF5_Q71EF5_BACSU	up_Q7N7D7_Q7N7D7_PHOLL
da00437	up_Q8DMV6_URE1_THEEB	up_Q4VV05_Q4VV05_9BACI	up_Q1RR38_Q1RR38_STRAM
da00444	up_O27541_O27541_METTH	up_Q57602_Y138_METJA	up_O27541_O27541_METTH
da00447	up_Q2GK25_OBG_ANAPZ	up_Q9RIK1_Q9RIK1_STRPY	up_Q9LQN5_Q9LQN5_ARATH
da00448	pfam21_Q8K733_Q8K733_STRP3	pfam21_Q2ZEG2_Q2ZEG2_CALSA	up_Q8L7L0_Q8L7L0_ARATH
da00450	pfam21_Q2XGT8_Q2XGT8_PSEPU	up_Q4RJA4_Q4RJA4_TETNG	pfam21_Q3FHL8_Q3FHL8_9BURK
da00453	up_Q6SGF7_Q6SGF7_9BACT	up_Q3IBW5_Q3IBW5_PSEHT	pfam21_Q3XTY1_Q3XTY1_9PROT
da00456	up_Q8Y3U7_Q8Y3U7_LISMO	pfam21_Q9KER0_Q9KER0_BACHD	up_Q8A5X3_Q8A5X3_BACTN
da00461	up_Q32EQ8_Q32EQ8_SHIDS	up_Q99WR6_Q99WR6_STAAN	up_Q5BGI6_Q5BGI6_EMENI
da00462	pfam21_Q4B4K0_Q4B4K0_9BURK	pfam21_Q1UE55_Q1UE55_9GAMM	up_Q46D76_Q46D76_METBF
da00466	up_Q7VRU2_DNLJ_BLOFL	up_O87535_O87535_BARQU	up_Q1QXD7_LIGB_CHRSD
da00476	up_Q4C8I9_Q4C8I9_CROWT	pfam21_Q3H0F0_Q3H0F0_9ACTO	pfam21_Q1XL66_Q1XL66_CYTJO
da00477	up_O05477_O05477_SULIS	up_Q9P9J5_Q9P9J5_SULIS	pfam21_Q41UZ0_Q41UZ0_FERAC
da00480	up_Q72BR5_Q72BR5_DESVH	pfam21_Q3C4E2_Q3C4E2_9CLOT	pfam21_Q3W6E1_Q3W6E1_9ACTO
da00481	up_Q8U0Z6_Q8U0Z6_PYRFU	up_Q9V2X7_Q9V2X7_METTF	up_Q648Y2_Q648Y2_9ARCH
da00482	up_O93775_O93775_HALSA	up_Q1M5I9_Q1M5I9_RHIL3	up_Q2FMC7_Q2FMC7_METHJ
da00483	pfam21_Q9YC75_RGYR2_AERPE	up_Q5CBC0_Q5CBC0_9THEM	up_Q6F598_RGYR_PYRKO
da00485	pfam21_Q2AJQ0_Q2AJQ0_9BACI	up_Q9FAY3_Q9FAY3_STRSZ	up_Q9HS90_Q9HS90_HALSA
